record_id,active_ingredient,clinical_indication,contraindications,source_file,source_sheet,source_row,species,dosage_raw,route_hint
1,Ácido Fólico (Vitamina B9),"Vitamina do Complexo B, essencial para a fabricação de DNA e RNA.",Via parenteral- risco de reações graves.,Bulário.xlsx,Cópia de Página1,2,dog,"0,1mg/kg/24h - Via oral",ORAL
1,Ácido Fólico (Vitamina B9),"Vitamina do Complexo B, essencial para a fabricação de DNA e RNA.",Via parenteral- risco de reações graves.,Bulário.xlsx,Cópia de Página1,2,cat,"0,1mg/kg/24h - Via oral",ORAL
2,Ácido Glicirrízico,"Anti-inflamatório e antialérgico menos pontente, porém mais duradouro. Tem ação semelhante às dos corticoides.","Não deve ser usado por animais com pele sensíveis, inflamadas ou com queimaduras.",Bulário.xlsx,Cópia de Página1,3,dog,"0,1-2% - Uso tópico",
2,Ácido Glicirrízico,"Anti-inflamatório e antialérgico menos pontente, porém mais duradouro. Tem ação semelhante às dos corticoides.","Não deve ser usado por animais com pele sensíveis, inflamadas ou com queimaduras.",Bulário.xlsx,Cópia de Página1,3,cat,"0,1-2% - Uso tópico",
3,Ácido Hialurônico,Mucopolissacarídeo para tratamento de sinovites e patologias articulares não infecciosas.,"Não utilizar em gestantes ou portadores de doenças gastrointestinais, hepatopatias e nefopatias.",Bulário.xlsx,Cópia de Página1,4,dog,3-5mg/kg/24h- Via oral,ORAL
4,Ácido Lático,"Acidificante, bactericida e promove a normalização de queratinização epidérmica.","Não deve ser usado por animais com pele sensíveis, inflamadas ou com queimaduras.",Bulário.xlsx,Cópia de Página1,5,dog,"0,5-2% (acidificante a antipruriginoso) 5-15% (dermatite atópica)",
4,Ácido Lático,"Acidificante, bactericida e promove a normalização de queratinização epidérmica.","Não deve ser usado por animais com pele sensíveis, inflamadas ou com queimaduras.",Bulário.xlsx,Cópia de Página1,5,cat,"0,5-2% (acidificante a antipruriginoso) 5-15% (dermatite atópica)",
5,Ácido Salicílico,"Utilizado como antisséptico, queratolítio, bacteriostático e fungicida.","Não deve ser usado por animais com pele sensíveis, inflamadas, com queimaduras, em pacientes diabéticos ou com doença vascular periférica.",Bulário.xlsx,Cópia de Página1,6,dog,2 a 10%- Uso tópico,
6,Ácido Ursodesoxicólico,"Ácido biliar colerético, litolítico e hepatoprotetor. Utilizado como adjuvante nas hepatopatias crônicas.",Não utilizar em lagomorfos.,Bulário.xlsx,Cópia de Página1,7,dog,10-15mg/kg/24h - Via oral,ORAL
6,Ácido Ursodesoxicólico,"Ácido biliar colerético, litolítico e hepatoprotetor. Utilizado como adjuvante nas hepatopatias crônicas.",Não utilizar em lagomorfos.,Bulário.xlsx,Cópia de Página1,7,cat,10-15mg/kg/24h - Via oral,ORAL
7,Alcachofra extrato seco,"Hepatoprotetor, estimulante das funções hepáticas e digestivas, controle do colesterol e da obesidade.","Não utilizar em pacientes com alterações na vesícula biliar, com hepatites ou em tratamento com anticoagulantes.",Bulário.xlsx,Cópia de Página1,8,dog,2-3mg/kg/8-12h- Via oral,ORAL
7,Alcachofra extrato seco,"Hepatoprotetor, estimulante das funções hepáticas e digestivas, controle do colesterol e da obesidade.","Não utilizar em pacientes com alterações na vesícula biliar, com hepatites ou em tratamento com anticoagulantes.",Bulário.xlsx,Cópia de Página1,8,cat,2-3mg/kg/8-12h- Via oral,ORAL
8,Alfa Bisabolol,"Óleo obtido através da camomila. Tem ação anti-inflamatória, antisséptica e cicatrizante.",Não utilizar em lesões ou em pele sensível.,Bulário.xlsx,Cópia de Página1,9,dog,"0,1-1% - Uso tópico",
8,Alfa Bisabolol,"Óleo obtido através da camomila. Tem ação anti-inflamatória, antisséptica e cicatrizante.",Não utilizar em lesões ou em pele sensível.,Bulário.xlsx,Cópia de Página1,9,cat,"0,1-1% - Uso tópico",
9,Amitriptilina,"Antidepressivo, também utilizado para para o tratamento de alterações comportamentais, prurido e automutilações. Especialmente indicado como adjuvante na doença do trato urinário baixo dos felinos. MEDICAMENTO CONTROLADO.","Não utilizar em pacientes que apresentam hipersensibilidade ao medicamento, gestantes e lactantes, pacientes cardiopatas e aqueles que estão fazendo uso de medicamentos inibidores da monoaminoxidase (IMAOs). Utilizar com cautela em pacientes diabéticos.",Bulário.xlsx,Cópia de Página1,10,dog,1-2mg/kg/24h - Via oral,ORAL
9,Amitriptilina,"Antidepressivo, também utilizado para para o tratamento de alterações comportamentais, prurido e automutilações. Especialmente indicado como adjuvante na doença do trato urinário baixo dos felinos. MEDICAMENTO CONTROLADO.","Não utilizar em pacientes que apresentam hipersensibilidade ao medicamento, gestantes e lactantes, pacientes cardiopatas e aqueles que estão fazendo uso de medicamentos inibidores da monoaminoxidase (IMAOs). Utilizar com cautela em pacientes diabéticos.",Bulário.xlsx,Cópia de Página1,10,cat,5-10mg/animal/12-24h - Via Oral,ORAL
10,Aminofilina,Broncodilatador e reversor parcial dos efeitos da xilazina,,Bulário.xlsx,Cópia de Página1,11,dog,6-10 mg/kg/q8h VO,VO
10,Aminofilina,Broncodilatador e reversor parcial dos efeitos da xilazina,,Bulário.xlsx,Cópia de Página1,11,cat,4-6 mg/kg/q8h-12h VO,VO
11,Amoxicilina,"Bactericida de amplo espectro, utilizado para doenças de pele e infecções do trato urinário e respiratório.",Avaliar o risco benefício se o animal estiver utilizando outro medicamento.,Bulário.xlsx,Cópia de Página1,12,dog,10-20mg/kg - 12h - Via oral,ORAL
11,Amoxicilina,"Bactericida de amplo espectro, utilizado para doenças de pele e infecções do trato urinário e respiratório.",Avaliar o risco benefício se o animal estiver utilizando outro medicamento.,Bulário.xlsx,Cópia de Página1,12,cat,10-20mg/kg - 12h - Via oral,ORAL
12,Amoxicilina + Clavulanato de Potássio (4:1),Antibiótico beta-lactâmico + inibidor da beta-lactamase (amplo espectro contra bactérias Gram-positivas e Gram-negativas),,Bulário.xlsx,Cópia de Página1,13,dog,"10-20 mg/kg/q12h VO (a dose é expressa em relação à amoxicilina, sendo adicionado mais 25% de clavulanato de potássio)",VO
12,Amoxicilina + Clavulanato de Potássio (4:1),Antibiótico beta-lactâmico + inibidor da beta-lactamase (amplo espectro contra bactérias Gram-positivas e Gram-negativas),,Bulário.xlsx,Cópia de Página1,13,cat,"10-20 mg/kg/q12h VO (a dose é expressa em relação à amoxicilina, sendo adicionado mais 25% de clavulanato de potássio)",VO
13,Anlodipino,"Vasodilatador utilizado para diminuir a pressão arterial, bloqueando os canais de cálcio.","Utilizar com cautela em pacientes cardíacos, com problemas hepáticos ou com risco de hipotensão.",Bulário.xlsx,Cópia de Página1,14,dog,"0,1-0,5mg/kg/12-24h- Via oral",ORAL
13,Anlodipino,"Vasodilatador utilizado para diminuir a pressão arterial, bloqueando os canais de cálcio.","Utilizar com cautela em pacientes cardíacos, com problemas hepáticos ou com risco de hipotensão.",Bulário.xlsx,Cópia de Página1,14,cat,"0,625-1,25mg/animal/12-24h- Via oral",ORAL
14,Arnica extrato glicólico,"Tem ação adstringente, anti-inflamatória. É utilizado para tratamento de edemas e hematomas.",Evitar o uso em gestantes.,Bulário.xlsx,Cópia de Página1,15,dog,1-10% - Uso tópico,
14,Arnica extrato glicólico,"Tem ação adstringente, anti-inflamatória. É utilizado para tratamento de edemas e hematomas.",Evitar o uso em gestantes.,Bulário.xlsx,Cópia de Página1,15,cat,1-10% - Uso tópico,
15,Ashwagandha,"Tem ação anti-inflamatória, ansiolítica, antidepressiva e neuroprotetora. É utilizado também para fortalecer o sistema imunológico e para controlar a glicemia.","Utilizar apenas com a orientação médica, evitar o uso em gestantes.",Bulário.xlsx,Cópia de Página1,16,dog,10-20mg/kg/24h- Via oral,ORAL
15,Ashwagandha,"Tem ação anti-inflamatória, ansiolítica, antidepressiva e neuroprotetora. É utilizado também para fortalecer o sistema imunológico e para controlar a glicemia.","Utilizar apenas com a orientação médica, evitar o uso em gestantes.",Bulário.xlsx,Cópia de Página1,16,cat,10mg/kg/24h- Via oral,ORAL
17,Astragalus,Utilizado para promover o estímulo e a melhora do sistema imunológico.,"Utilizar apenas com a orientação médica, evitar o uso em gestantes.",Bulário.xlsx,Cópia de Página1,18,dog,8mg/kg/24h - Via oral,ORAL
17,Astragalus,Utilizado para promover o estímulo e a melhora do sistema imunológico.,"Utilizar apenas com a orientação médica, evitar o uso em gestantes.",Bulário.xlsx,Cópia de Página1,18,cat,8mg/kg/24h - Via oral,ORAL
18,Azitromicina,Antibiótico bacteriostático de amplo espectro,,Bulário.xlsx,Cópia de Página1,19,dog,5-10 mg/kg q24h/VO por 3-10 d,VO
18,Azitromicina,Antibiótico bacteriostático de amplo espectro,,Bulário.xlsx,Cópia de Página1,19,cat,5-10 mg/kg q24h/VO por 3-10 d,VO
19,Benazepril,"Vasodilatador utilizado no tratamento de insuficiência cardíaca, insuficiência renal cronica e glomerulonefropatias.",Evitar o uso em gestantes.,Bulário.xlsx,Cópia de Página1,20,dog,"0,5mg/kg/24h - Via oral",ORAL
19,Benazepril,"Vasodilatador utilizado no tratamento de insuficiência cardíaca, insuficiência renal cronica e glomerulonefropatias.",Evitar o uso em gestantes.,Bulário.xlsx,Cópia de Página1,20,cat,"0,5mg/kg/24h - Via oral",ORAL
20,Berberina (Phelodendron),Indicado para hipertensão e insuficiência cardíaca. Também atua como ansiolítico e antidepressivo.,Evitar o uso em gestantes e lactantes.,Bulário.xlsx,Cópia de Página1,21,dog,5-7mg/kg/24h - Via oral,ORAL
20,Berberina (Phelodendron),Indicado para hipertensão e insuficiência cardíaca. Também atua como ansiolítico e antidepressivo.,Evitar o uso em gestantes e lactantes.,Bulário.xlsx,Cópia de Página1,21,cat,5-7mg/kg/24h - Via oral,ORAL
21,Berinjela ext seco,"Hepatoprotetor, estimulante das funções hepáticas e digestivas, controle do colesterol.",Evitar o uso em gestantes e lactantes e que apresentam hipoglicemia.,Bulário.xlsx,Cópia de Página1,22,dog,10mg/kg/24h - Via oral,ORAL
21,Berinjela ext seco,"Hepatoprotetor, estimulante das funções hepáticas e digestivas, controle do colesterol.",Evitar o uso em gestantes e lactantes e que apresentam hipoglicemia.,Bulário.xlsx,Cópia de Página1,22,cat,10mg/kg/24h - Via oral,ORAL
22,Betacaroteno,"Pigmento carotenoide e antioxidante natural. É essencial para todos os tecidos do organismo, pois atua combatendo os radicais livres, estimula o sistema imunológico e ajuda a manter o nível de anticorpos.",Não utilizar em pacientes que apresentam insuficiencia renal ou hepática.,Bulário.xlsx,Cópia de Página1,23,dog,30UI/kg/24h - Via oral,ORAL
22,Betacaroteno,"Pigmento carotenoide e antioxidante natural. É essencial para todos os tecidos do organismo, pois atua combatendo os radicais livres, estimula o sistema imunológico e ajuda a manter o nível de anticorpos.",Não utilizar em pacientes que apresentam insuficiencia renal ou hepática.,Bulário.xlsx,Cópia de Página1,23,cat,30UI/kg/24h - Via oral,ORAL
23,Betaglucana,"Auxilia no equilíbrio da microbiota intestinal, contribuindo para uma melhora na digestão e oferecendo substrato para bactérias que colonizam a região que atuam como barreira para impedir a entrada de patógenos no organismo.",Não há relatos.,Bulário.xlsx,Cópia de Página1,24,dog,10-15mg/kg/24h - Via oral,ORAL
23,Betaglucana,"Auxilia no equilíbrio da microbiota intestinal, contribuindo para uma melhora na digestão e oferecendo substrato para bactérias que colonizam a região que atuam como barreira para impedir a entrada de patógenos no organismo.",Não há relatos.,Bulário.xlsx,Cópia de Página1,24,cat,10-15mg/kg/24h - Via oral,ORAL
24,Betametasona,"Corticóide utilizado em condições inflamatórias e para o tratamento dermatoses, doenças auto-imunes e edemas.","Evitar o uso em animais que apresentam diabetes, insuficiencia renal, ulcerações do trato gastrointestinal, pancreatite, pacientes cardiopatas e com predisposição ao tromboembolismo.",Bulário.xlsx,Cópia de Página1,25,dog,"0,1-0,5mg/kg/6-8h - Via oral",ORAL
